channel,video_id,title,published,age_days,views,likes,views_per_day,like_rate,score,url
IShowSpeed,0J6NW3kgdd0,APPLE SENT ME THE NEW IPHONE 18,2026-09-19T22:20:29+00:00,1.84,4155768,235121,2258641,0.05658,98.8,https://www.youtube.com/shorts/0J6NW3kgdd0
IShowSpeed,3Y93InnRp8U,"Eat The Hot Wing, Win $$$$",2026-09-13T18:13:46+00:00,8.01,1720528,73418,214763,0.04267,84.9,https://www.youtube.com/shorts/3Y93InnRp8U
IShowSpeed,dm-ISSgW_-k,ROCK PAPER SCISSORS KFC CHALLENGE!!,2026-09-11T11:00:01+00:00,10.31,8120979,302365,787490,0.03723,85.8,https://www.youtube.com/shorts/dm-ISSgW_-k
KreekCraft,H_7xo6l9elw,roblox is fixing faces 🙏😭,2026-09-21T20:07:00+00:00,0.02,25931,1716,1296550,0.06618,100.0,https://www.youtube.com/shorts/H_7xo6l9elw
KreekCraft,2n1rIXEeybM,kids can't play roblox anymore 😭,2026-09-20T20:30:23+00:00,0.92,1097490,26200,1197610,0.02387,86.3,https://www.youtube.com/shorts/2n1rIXEeybM
KreekCraft,E1WrTaRYBus,ROBLOX BANS GOT WORSE 💀,2026-09-18T22:50:34+00:00,2.82,426992,9980,151467,0.02337,77.3,https://www.youtube.com/shorts/E1WrTaRYBus
CaseOh,I04w2SQxZ_Y,CaseOh Gets PRESSED By Minecraft Villagers!,2026-09-21T01:00:25+00:00,0.73,65631,5149,90044,0.07845,89.9,https://www.youtube.com/shorts/I04w2SQxZ_Y
CaseOh,8Pw1097TABI,CaseOh Is Almost PUSHED To His Death!,2026-09-20T01:00:14+00:00,1.73,81071,6487,46889,0.08002,86.7,https://www.youtube.com/shorts/8Pw1097TABI
CaseOh,Cb11JWFrKrw,CaseOh Falls Into The Backrooms In Minecraft!,2026-09-19T01:00:22+00:00,2.73,112893,7377,41369,0.06535,85.5,https://www.youtube.com/shorts/Cb11JWFrKrw
SypherPK,x5InlP4XxYg,Who's Your Most Famous Contact?,2026-09-21T17:00:27+00:00,0.06,37033,2668,595506,0.07204,97.9,https://www.youtube.com/shorts/x5InlP4XxYg
SypherPK,5-FBl3NV4Aw,It's finally here!,2026-09-18T22:00:29+00:00,2.85,39059,1124,13687,0.02878,70.4,https://www.youtube.com/shorts/5-FBl3NV4Aw
SypherPK,vuYiS-kEirE,Fortnite added THIS for Ali-A!,2026-09-17T22:00:40+00:00,3.85,899966,16776,233533,0.01864,76.0,https://www.youtube.com/shorts/vuYiS-kEirE
Jynxzi,8PfLce78M4o,Jynxzi has mic drift 😭,2026-09-02T15:48:12+00:00,19.11,419000,,21923,,59.7,https://www.youtube.com/shorts/8PfLce78M4o
Jynxzi,O_DHiF0Me3w,Jynxzi Reacts to Kali Rework 😭,2026-08-16T22:15:12+00:00,35.84,824000,,22989,,47.2,https://www.youtube.com/shorts/O_DHiF0Me3w
Jynxzi,ld5Tv61_BEo,Bro did not say flash warning😭,2026-08-16T16:50:30+00:00,36.07,1700000,,47132,,50.6,https://www.youtube.com/shorts/ld5Tv61_BEo
Dream,G9I2qfuXIIg,Peaceful Mode...,2026-05-11T13:04:05+00:00,133.23,2700000,,20266,,46.7,https://www.youtube.com/shorts/G9I2qfuXIIg
Dream,t3Urp8qh3QM,Traffic Jams Explained In Minecraft,2026-05-03T10:47:29+00:00,141.32,3300000,,23351,,47.3,https://www.youtube.com/shorts/t3Urp8qh3QM
Dream,PgGj6WKcf5w,What Armor Is The Best?,2026-04-17T21:19:51+00:00,156.88,8000000,,50994,,51.0,https://www.youtube.com/shorts/PgGj6WKcf5w
