channel,video_id,title,published,age_days,views,likes,views_per_day,like_rate,score,url
NovaPlays,demo4Nov,NovaPlays short #5,2026-09-21T04:18:48.961300+00:00,0.73,122002,5611,168183,0.04599,90.4,https://www.youtube.com/shorts/demo4Nov
NovaPlays,demo3Nov,NovaPlays short #4,2026-09-21T02:45:49.876121+00:00,0.79,128774,5178,163008,0.04021,87.4,https://www.youtube.com/shorts/demo3Nov
NovaPlays,demo1Nov,NovaPlays short #2,2026-09-17T06:51:13.501392+00:00,4.62,6117463,287936,1324249,0.04707,95.5,https://www.youtube.com/shorts/demo1Nov
NovaPlays,demo5Nov,NovaPlays short #6,2026-09-10T21:58:02.285660+00:00,10.99,6469534,281881,588683,0.04357,87.3,https://www.youtube.com/shorts/demo5Nov
NovaPlays,demo0Nov,NovaPlays short #1,2026-09-09T01:04:04.362700+00:00,12.86,3753220,116354,291837,0.031,77.0,https://www.youtube.com/shorts/demo0Nov
NovaPlays,demo2Nov,NovaPlays short #3,2026-09-04T00:57:35.145294+00:00,17.87,7117311,262464,398391,0.03688,77.9,https://www.youtube.com/shorts/demo2Nov
PixelPanda,demo3Pix,PixelPanda short #4,2026-09-19T18:57:49.935181+00:00,2.11,916914,40480,433532,0.04415,92.3,https://www.youtube.com/shorts/demo3Pix
PixelPanda,demo1Pix,PixelPanda short #2,2026-09-07T21:10:03.549564+00:00,14.02,3180159,83381,226779,0.02622,72.9,https://www.youtube.com/shorts/demo1Pix
PixelPanda,demo4Pix,PixelPanda short #5,2026-09-05T17:22:34.095702+00:00,16.18,6476123,268429,400227,0.04145,81.3,https://www.youtube.com/shorts/demo4Pix
PixelPanda,demo0Pix,PixelPanda short #1,2026-09-05T16:16:55.704510+00:00,16.23,1199414,62648,73916,0.05223,78.8,https://www.youtube.com/shorts/demo0Pix
PixelPanda,demo2Pix,PixelPanda short #3,2026-09-02T18:03:21.028472+00:00,19.15,4284255,101578,223688,0.02371,68.1,https://www.youtube.com/shorts/demo2Pix
PixelPanda,demo5Pix,PixelPanda short #6,2026-09-02T10:29:55.975603+00:00,19.47,4647621,195579,238735,0.04208,77.4,https://www.youtube.com/shorts/demo5Pix
TurboTuk,demo5Tur,TurboTuk short #6,2026-09-17T13:21:56.707677+00:00,4.35,193741,11133,44556,0.05746,84.7,https://www.youtube.com/shorts/demo5Tur
TurboTuk,demo2Tur,TurboTuk short #3,2026-09-17T04:37:34.437235+00:00,4.71,203960,4730,43282,0.02319,71.0,https://www.youtube.com/shorts/demo2Tur
TurboTuk,demo3Tur,TurboTuk short #4,2026-09-17T02:18:04.550242+00:00,4.81,118056,3673,24548,0.03111,72.6,https://www.youtube.com/shorts/demo3Tur
TurboTuk,demo1Tur,TurboTuk short #2,2026-09-10T06:33:56.713424+00:00,11.63,1081533,23613,92983,0.02183,68.7,https://www.youtube.com/shorts/demo1Tur
TurboTuk,demo4Tur,TurboTuk short #5,2026-09-09T02:50:46.482866+00:00,12.79,715090,24890,55925,0.03481,72.4,https://www.youtube.com/shorts/demo4Tur
TurboTuk,demo0Tur,TurboTuk short #1,2026-09-05T06:47:25.428127+00:00,16.62,1416180,77136,85198,0.05447,79.1,https://www.youtube.com/shorts/demo0Tur
